GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,Population 2024,,,,,,,,
1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021007,Braidwood,4484,,,,,,,,
1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021008,Karabar,8446,,,,,,,,
1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021009,Queanbeyan,11373,,,,,,,,
1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021010,Queanbeyan - East,5132,,,,,,,,
1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021012,Queanbeyan West - Jerrabomberra,12877,,,,,,,,
1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021610,Googong,8497,,,,,,,,
1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021611,Queanbeyan Surrounds,17664,,,,,,,,
1RNSW,Rest of NSW,101,Capital Region,10103,Snowy Mountains,101031013,Bombala,2469,,,,,,,,
1RNSW,Rest of NSW,101,Capital Region,10103,Snowy Mountains,101031014,Cooma,6716,,,,,,,,
1RNSW,Rest of NSW,101,Capital Region,10103,Snowy Mountains,101031015,Cooma Surrounds,3554,,,,,,,,
1RNSW,Rest of NSW,101,Capital Region,10103,Snowy Mountains,101031016,Jindabyne - Berridale,8557,,,,,,,,
1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041017,Batemans Bay,8653,,,,,,,,
1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041018,Batemans Bay - South,9069,,,,,,,,
1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041019,Bega - Tathra,9009,,,,,,,,
1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041020,Bega-Eden Hinterland,9824,,,,,,,,
1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041021,Broulee - Tomakin,3932,,,,,,,,
1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041022,Deua - Wadbilliga,41,,,,,,,,
1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041023,Eden,3459,,,,,,,,
1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041024,Eurobodalla Hinterland,3700,,,,,,,,
1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041025,Merimbula - Tura Beach,11616,,,,,,,,
1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041026,Moruya - Tuross Head,8684,,,,,,,,
1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041027,Narooma - Bermagui,10016,,,,,,,,
1RNSW,Rest of NSW,101,Capital Region,10105,Goulburn - Mulwaree,101051539,Goulburn,25304,,,,,,,,
1RNSW,Rest of NSW,101,Capital Region,10105,Goulburn - Mulwaree,101051540,Goulburn Surrounds,14258,,,,,,,,
1RNSW,Rest of NSW,101,Capital Region,10106,Young - Yass,101061541,Yass,6816,,,,,,,,
1RNSW,Rest of NSW,101,Capital Region,10106,Young - Yass,101061542,Yass Surrounds,13197,,,,,,,,
1RNSW,Rest of NSW,101,Capital Region,10106,Young - Yass,101061543,Young,10971,,,,,,,,
1RNSW,Rest of NSW,101,Capital Region,10106,Young - Yass,101061544,Young Surrounds,7769,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011028,Avoca Beach - Copacabana,7570,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011029,Box Head - MacMasters Beach,11213,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011030,Calga - Kulnura,4694,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011031,Erina - Green Point,14680,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011032,Gosford - Springfield,22599,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011033,Kariong,6490,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011034,Kincumber - Picketts Valley,7590,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011035,Narara,7344,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011036,Niagara Park - Lisarow,8264,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011037,Point Clare - Koolewong,6667,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011038,Saratoga - Davistown,7348,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011039,Terrigal - North Avoca,15437,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011040,Umina - Booker Bay - Patonga,25007,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011041,Wamberal - Forresters Beach,10862,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011042,Woy Woy - Blackwall,14554,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011043,Wyoming,11339,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021044,Bateau Bay - Killarney Vale,22990,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021045,Blue Haven - San Remo,11620,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021046,Budgewoi - Buff Point - Halekulani,9967,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021047,Chittaway Bay - Tumbi Umbi,16354,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021048,Gorokan - Kanwal - Charmhaven,22740,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021049,Jilliby - Yarramalong,3566,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021050,Lake Munmorah - Mannering Park,11055,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021051,Ourimbah - Fountaindale,4927,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021052,Summerland Point - Gwandalan,6915,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021053,The Entrance,16155,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021054,Toukley - Norah Head,9847,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021055,Tuggerah - Kangy Angy,5296,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021056,Warnervale - Wadalba,22353,,,,,,,,
1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021057,Wyong,9360,,,,,,,,
1RNSW,Rest of NSW,103,Central West,10301,Bathurst,103011059,Bathurst - East,13334,,,,,,,,
1RNSW,Rest of NSW,103,Central West,10301,Bathurst,103011060,Bathurst Surrounds,7043,,,,,,,,
1RNSW,Rest of NSW,103,Central West,10301,Bathurst,103011061,Oberon,4844,,,,,,,,
1RNSW,Rest of NSW,103,Central West,10301,Bathurst,103011612,Bathurst - South,10491,,,,,,,,
1RNSW,Rest of NSW,103,Central West,10301,Bathurst,103011613,Bathurst - West,14817,,,,,,,,
1RNSW,Rest of NSW,103,Central West,10302,Lachlan Valley,103021062,Condobolin,6351,,,,,,,,
1RNSW,Rest of NSW,103,Central West,10302,Lachlan Valley,103021063,Cowra,9138,,,,,,,,
